"","d","a","b","cmgnl"
"144",0.441342998354509,17,27,-0.197466898964287
"145",0.439902690757836,17,19,0.0960274050078153
"146",0.439890174865316,17,3,-0.408755341221003
"147",0.439693448644714,6,12,-0.555073503542473
"148",0.437798416937775,27,13,-0.081596080663078
"149",0.437412244091679,9,1,0.945672320581831
"150",0.437155789689459,17,35,-0.300096343710773
"151",0.437032393106964,11,5,0.996779009679574
"152",0.436837521308715,16,33,-0.562614637357273
"153",0.436581785518322,36,23,0.959788127570749
"154",0.435536175981412,2,8,0.796530511222739
"155",0.434790858014209,9,3,-0.296239573277931
"156",0.434162163500109,32,30,0.992430043404999
"157",0.433453122403175,9,7,0.946332377751719
"158",0.433010179685674,23,26,0.898480220882559
"159",0.432968034280456,34,16,-0.614120765173874
"160",0.432963063920578,35,36,0
"161",0.432204828512431,13,9,0.996074838588806
"162",0.431796776035093,1,27,0.18057385870999
"163",0.43110145892295,28,23,0.899160421637297
"164",0.430576299609354,21,33,0.740485237532557
"165",0.42955196513229,25,9,0.164443552160594
"166",0.429470160492022,17,31,-0.228959425506217
"167",0.429085965681838,29,33,0.511206179689601
"168",0.428832854802905,16,26,0.8955372430956
"169",0.428604637088535,3,1,-0.0447928125731796
"170",0.428045819250044,21,17,0.309849418700867
"171",0.427988155972998,12,33,-0.623277073096004
"172",0.427931682143308,3,5,-0.247046936758177
"173",0.427917002101583,33,32,0.849520521608592
"174",0.427627396753941,13,11,0.986109299689801
"175",0.425786512607401,1,9,0.945672320581831
"176",0.425620732797023,35,26,-0.262347309502861
"177",0.424285377180005,9,19,0.147654392753648
"178",0.423327889859311,27,7,-0.329254645173586
"179",0.422453046174847,30,32,0.992430043404999
"180",0.422377430659756,8,22,0.409543763696753
"181",0.422133228884501,10,16,-0.418224282871549
"182",0.421096581934779,7,9,0.946332377751719
"183",0.420206846142452,30,23,0.0448027151317237
"184",0.418235525954327,7,19,-0.124541381016082
"185",0.41795960842932,29,17,0.590496497409214
"186",0.416724250425859,5,33,-0.157797960907727
"187",0.416691371497735,13,19,0.15278487123585
"188",0.416640505757902,7,35,-0.431482091824647
"189",0.416628697248266,2,23,-0.500988905511217
"190",0.416090794098757,19,33,0.875315787881274
"191",0.415206743521162,18,16,-0.466808141706528
"192",0.415091180619928,4,16,-0.337943662604633
"193",0.41430289518849,25,17,0.0591668247905189
"194",0.413362986669731,6,23,-0.414357700964864
"195",0.413199721608765,17,5,0.970736799977833
"196",0.412760023208737,35,19,0.892530858493326
"197",0.412416698656609,26,12,0.854145654870815
"198",0.411727927346333,23,21,0.0880188151526849
